feature_1,feature_2,feature_3,feature_4,feature_5,target
0.12,0.45,0.78,0.23,0.56,12.34
0.34,0.67,0.89,0.45,0.12,23.45
0.56,0.23,0.45,0.67,0.89,34.56
0.78,0.89,0.12,0.34,0.45,45.67
0.91,0.34,0.56,0.78,0.23,56.78
0.23,0.56,0.78,0.12,0.67,15.89
0.45,0.78,0.91,0.34,0.45,26.91
0.67,0.12,0.34,0.56,0.78,37.12
0.89,0.45,0.67,0.78,0.91,48.23
0.11,0.67,0.89,0.91,0.34,19.34
0.33,0.89,0.11,0.23,0.56,21.45
0.55,0.11,0.33,0.45,0.78,32.56
0.77,0.33,0.55,0.67,0.91,43.67
0.99,0.55,0.77,0.89,0.12,54.78
0.21,0.77,0.99,0.11,0.34,16.89
0.43,0.99,0.21,0.33,0.56,27.91
0.65,0.21,0.43,0.55,0.78,38.12
0.87,0.43,0.65,0.77,0.91,49.23
0.09,0.65,0.87,0.99,0.12,10.34
0.31,0.87,0.09,0.21,0.34,22.45
0.53,0.09,0.31,0.43,0.56,33.56
0.75,0.31,0.53,0.65,0.78,44.67
0.97,0.53,0.75,0.87,0.91,55.78
0.19,0.75,0.97,0.09,0.12,17.89
0.41,0.97,0.19,0.31,0.34,28.91
0.63,0.19,0.41,0.53,0.56,39.12
0.85,0.41,0.63,0.75,0.78,50.23
0.07,0.63,0.85,0.97,0.91,11.34
0.29,0.85,0.07,0.19,0.12,23.45
0.51,0.07,0.29,0.41,0.34,34.56
0.73,0.29,0.51,0.63,0.56,45.67
0.95,0.51,0.73,0.85,0.78,56.78
0.17,0.73,0.95,0.07,0.91,18.89
0.39,0.95,0.17,0.29,0.12,29.91
0.61,0.17,0.39,0.51,0.34,40.12
0.83,0.39,0.61,0.73,0.56,51.23
0.05,0.61,0.83,0.95,0.78,12.34
0.27,0.83,0.05,0.17,0.91,24.45
0.49,0.05,0.27,0.39,0.12,35.56
0.71,0.27,0.49,0.61,0.34,46.67
0.93,0.49,0.71,0.83,0.56,57.78
0.15,0.71,0.93,0.05,0.78,19.89
0.37,0.93,0.15,0.27,0.91,30.91
0.59,0.15,0.37,0.49,0.12,41.12
0.81,0.37,0.59,0.71,0.34,52.23
0.03,0.59,0.81,0.93,0.56,13.34
0.25,0.81,0.03,0.15,0.78,25.45
0.47,0.03,0.25,0.37,0.91,36.56
0.69,0.25,0.47,0.59,0.12,47.67
0.91,0.47,0.69,0.81,0.34,58.78
