value,category,group,score,target
100.5,frequent_a,group_1,0.85,250.0
,frequent_a,group_1,0.72,
150.2,frequent_b,,0.91,320.0
-999.9,frequent_a,group_2,0.65,180.0
200.0,rare_typo_1,group_1,0.78,400.0
175.3,frequent_b,group_2,,350.0
50000.0,frequent_a,group_1,0.82,125.0
125.8,,group_2,0.69,280.0
180.1,frequent_b,group_1,0.95,380.0
,frequent_a,group_2,0.73,220.0
145.6,rare_typo_2,group_1,0.88,305.0
-50.0,frequent_b,group_2,0.67,150.0
190.4,frequent_a,,0.79,395.0
160.7,frequent_b,group_1,0.84,335.0
,rare_once,group_2,0.71,
135.2,frequent_a,group_1,0.92,295.0
170.9,frequent_b,group_2,0.76,355.0
99999.0,frequent_a,group_1,0.68,210.0
155.4,frequent_b,,0.87,325.0
120.6,frequent_a,group_2,0.83,265.0
185.0,,group_1,0.74,385.0
,frequent_b,group_2,0.96,
140.3,frequent_a,group_1,0.70,300.0
195.7,frequent_b,group_2,0.89,405.0
-100.0,rare_typo_3,group_1,0.66,160.0
165.1,frequent_a,group_2,0.81,345.0
130.8,frequent_b,,0.77,285.0
175.5,frequent_a,group_1,0.93,365.0
,frequent_b,group_2,0.75,
110.2,frequent_a,group_1,0.86,245.0
200.9,frequent_b,group_2,0.72,415.0
-75.0,frequent_a,,0.69,175.0
155.6,rare_only_two,group_1,0.90,330.0
145.3,frequent_b,group_2,0.84,310.0
180.7,frequent_a,group_1,0.78,375.0
,frequent_b,group_2,0.67,
125.1,frequent_a,group_1,0.94,275.0
170.4,frequent_b,,0.80,360.0
88888.0,frequent_a,group_2,0.73,195.0
160.0,frequent_b,group_1,0.88,340.0
135.5,frequent_a,group_2,0.76,295.0
,frequent_b,group_1,0.91,
190.2,frequent_a,group_2,0.82,400.0
115.7,rare_only_two,group_1,0.70,255.0
175.9,frequent_b,group_2,0.85,370.0
-200.0,frequent_a,,0.68,140.0
150.3,frequent_b,group_1,0.97,320.0
185.6,frequent_a,group_2,0.74,390.0
,frequent_b,group_1,0.79,
140.0,frequent_a,group_2,0.83,305.0
