constant_col,near_constant,zero_variance_num,extreme_small,extreme_large,duplicate_rows,sparse_values,binary_feature,target
always_same,mostly_a,5.0,0.000001,999999999.0,dup_group_1,value_a,0,100.0
always_same,mostly_a,5.0,0.000002,888888888.0,dup_group_1,value_a,1,150.0
always_same,mostly_a,5.0,0.000001,999999999.0,dup_group_1,,0,100.0
always_same,mostly_a,5.0,0.000003,777777777.0,dup_group_2,value_b,1,200.0
always_same,mostly_a,5.0,0.000001,666666666.0,dup_group_2,value_b,0,180.0
always_same,mostly_a,5.0,0.000002,555555555.0,dup_group_2,,1,220.0
always_same,mostly_a,5.0,0.000004,999999999.0,dup_group_3,value_a,0,120.0
always_same,mostly_a,5.0,0.000001,444444444.0,dup_group_3,value_a,1,170.0
always_same,mostly_a,5.0,0.000003,333333333.0,dup_group_3,value_c,0,130.0
always_same,rare_b,5.0,0.000001,222222222.0,dup_group_4,,1,250.0
always_same,mostly_a,5.0,0.000005,111111111.0,dup_group_4,value_b,0,160.0
always_same,mostly_a,5.0,0.000001,999999999.0,dup_group_4,value_b,1,190.0
always_same,mostly_a,5.0,0.000002,888888888.0,dup_group_5,value_a,0,140.0
always_same,mostly_a,5.0,0.000001,777777777.0,dup_group_5,,1,210.0
always_same,mostly_a,5.0,0.000006,666666666.0,dup_group_5,value_c,0,175.0
always_same,mostly_a,5.0,0.000001,555555555.0,unique_1,value_a,1,230.0
always_same,mostly_a,5.0,0.000003,444444444.0,unique_2,value_b,0,145.0
always_same,rare_c,5.0,0.000001,333333333.0,unique_3,,1,195.0
always_same,mostly_a,5.0,0.000007,222222222.0,unique_4,value_a,0,155.0
always_same,mostly_a,5.0,0.000001,111111111.0,unique_5,value_b,1,240.0
always_same,mostly_a,5.0,0.000004,999999999.0,unique_6,value_c,0,165.0
always_same,mostly_a,5.0,0.000001,888888888.0,unique_7,,1,205.0
always_same,mostly_a,5.0,0.000008,777777777.0,unique_8,value_a,0,135.0
always_same,mostly_a,5.0,0.000001,666666666.0,unique_9,value_b,1,255.0
always_same,mostly_a,5.0,0.000002,555555555.0,unique_10,value_c,0,115.0
always_same,mostly_a,5.0,0.000001,444444444.0,unique_11,,1,185.0
always_same,mostly_a,5.0,0.000009,333333333.0,unique_12,value_a,0,225.0
always_same,mostly_a,5.0,0.000001,222222222.0,unique_13,value_b,1,125.0
always_same,mostly_a,5.0,0.000003,111111111.0,unique_14,value_c,0,215.0
always_same,mostly_a,5.0,0.000001,999999999.0,unique_15,,1,175.0
