user_id,product_id,region,amount,target
user_001,prod_001,region_01,100.5,150.2
user_002,prod_002,region_02,200.3,280.5
user_003,prod_003,region_03,150.7,210.9
user_004,prod_004,region_04,180.2,250.8
user_005,prod_005,region_05,220.9,310.3
user_006,prod_006,region_06,130.4,185.7
user_007,prod_007,region_07,190.1,265.4
user_008,prod_008,region_08,170.6,240.2
user_009,prod_009,region_09,210.8,295.6
user_010,prod_010,region_10,140.3,198.5
user_011,prod_011,region_11,185.7,260.1
user_012,prod_012,region_12,160.2,225.8
user_013,prod_013,region_13,230.5,320.7
user_014,prod_014,region_14,125.9,178.3
user_015,prod_015,region_15,195.4,273.6
user_016,prod_016,region_16,155.8,218.2
user_017,prod_017,region_17,215.3,300.5
user_018,prod_018,region_18,145.6,205.9
user_019,prod_019,region_19,175.1,245.4
user_020,prod_020,region_20,235.7,328.9
user_021,prod_021,region_21,135.2,190.8
user_022,prod_022,region_22,205.9,288.3
user_023,prod_023,region_23,165.4,232.6
user_024,prod_024,region_24,225.8,315.2
user_025,prod_025,region_25,115.3,163.5
user_026,prod_026,region_26,185.0,259.0
user_027,prod_027,region_27,155.5,218.7
user_028,prod_028,region_28,210.2,294.3
user_029,prod_029,region_29,140.8,197.9
user_030,prod_030,region_30,180.3,252.4
user_031,prod_031,region_31,150.6,211.8
user_032,prod_032,region_32,220.1,308.1
user_033,prod_033,region_33,130.9,184.3
user_034,prod_034,region_34,190.7,266.9
user_035,prod_035,region_35,160.4,224.6
user_036,prod_036,region_36,230.0,322.0
user_037,prod_037,region_37,120.5,170.7
user_038,prod_038,region_38,200.6,280.8
user_039,prod_039,region_39,170.3,238.4
user_040,prod_040,region_40,240.8,337.1
user_041,prod_041,region_41,110.7,156.5
user_042,prod_042,region_42,180.4,252.6
user_043,prod_043,region_43,150.9,211.3
user_044,prod_044,region_44,221.2,309.7
user_045,prod_045,region_45,131.5,184.9
user_046,prod_046,region_46,201.8,282.5
user_047,prod_047,region_47,171.3,239.8
user_048,prod_048,region_48,241.6,338.2
user_049,prod_049,region_49,111.9,158.1
user_050,prod_050,region_50,182.2,255.1
user_051,prod_051,region_01,152.5,213.5
user_052,prod_052,region_02,222.8,311.9
user_053,prod_053,region_03,133.1,186.7
user_054,prod_054,region_04,203.4,284.8
user_055,prod_055,region_05,173.7,243.2
user_056,prod_056,region_06,244.0,341.6
user_057,prod_057,region_07,114.3,161.0
user_058,prod_058,region_08,184.6,258.4
user_059,prod_059,region_09,154.9,216.9
user_060,prod_060,region_10,225.2,315.3
user_061,prod_061,region_11,135.5,189.7
user_062,prod_062,region_12,205.8,288.1
user_063,prod_063,region_13,176.1,246.5
user_064,prod_064,region_14,246.4,345.0
user_065,prod_065,region_15,116.7,164.4
user_066,prod_066,region_16,187.0,261.8
user_067,prod_067,region_17,157.3,220.2
user_068,prod_068,region_18,227.6,318.6
user_069,prod_069,region_19,137.9,193.1
user_070,prod_070,region_20,208.2,291.5
user_071,prod_071,region_21,178.5,249.9
user_072,prod_072,region_22,248.8,348.3
user_073,prod_073,region_23,119.1,167.7
user_074,prod_074,region_24,189.4,265.2
user_075,prod_075,region_25,159.7,223.6
user_076,prod_076,region_26,230.0,322.0
user_077,prod_077,region_27,140.3,196.4
user_078,prod_078,region_28,210.6,294.8
user_079,prod_079,region_29,180.9,253.3
user_080,prod_080,region_30,251.2,351.7
user_081,prod_081,region_31,121.5,171.1
user_082,prod_082,region_32,191.8,268.5
user_083,prod_083,region_33,162.1,226.9
user_084,prod_084,region_34,232.4,325.4
user_085,prod_085,region_35,142.7,199.8
user_086,prod_086,region_36,213.0,298.2
user_087,prod_087,region_37,183.3,256.6
user_088,prod_088,region_38,253.6,355.0
user_089,prod_089,region_39,123.9,174.5
user_090,prod_090,region_40,194.2,271.9
user_091,prod_091,region_41,164.5,230.3
user_092,prod_092,region_42,234.8,328.7
user_093,prod_093,region_43,145.1,203.1
user_094,prod_094,region_44,215.4,301.6
user_095,prod_095,region_45,185.7,260.0
user_096,prod_096,region_46,256.0,358.4
user_097,prod_097,region_47,126.3,177.8
user_098,prod_098,region_48,196.6,275.2
user_099,prod_099,region_49,166.9,233.7
user_100,prod_100,region_50,237.2,332.1
user_101,prod_001,region_01,147.5,206.5
user_102,prod_002,region_02,217.8,304.9
user_103,prod_003,region_03,188.1,263.3
user_104,prod_004,region_04,258.4,361.8
user_105,prod_005,region_05,128.7,181.2
user_106,prod_006,region_06,199.0,278.6
user_107,prod_007,region_07,169.3,237.0
user_108,prod_008,region_08,239.6,335.4
user_109,prod_009,region_09,149.9,209.9
user_110,prod_010,region_10,220.2,308.3
