price,sqft,bedrooms,bathrooms,neighborhood,property_type,has_pool,year_built,target
150000,1200,2,1,downtown,apartment,false,1985,180000
280000,1800,3,2,suburbs,house,true,2005,320000
95000,800,1,1,rural,apartment,false,1970,110000
420000,2500,4,3,downtown,condo,true,2018,480000
175000,1400,2,2,suburbs,townhouse,false,1995,200000
550000,3200,5,4,downtown,house,true,2020,620000
125000,1000,2,1,rural,house,false,1980,145000
350000,2100,3,2,suburbs,condo,true,2010,400000
200000,1600,3,2,downtown,apartment,false,2000,230000
480000,2800,4,3,suburbs,house,true,2015,540000
85000,650,1,1,rural,apartment,false,1965,95000
310000,1900,3,2,downtown,townhouse,false,2008,355000
165000,1300,2,1,suburbs,apartment,false,1990,185000
600000,3500,5,4,downtown,house,true,2022,680000
140000,1100,2,1,rural,house,false,1988,160000
390000,2300,4,2,suburbs,condo,true,2012,440000
220000,1700,3,2,downtown,apartment,true,2002,255000
520000,3000,4,3,downtown,house,true,2019,585000
110000,900,1,1,rural,townhouse,false,1975,125000
365000,2200,3,3,suburbs,house,true,2007,415000
190000,1500,2,2,downtown,condo,false,1998,215000
450000,2600,4,3,suburbs,house,true,2016,510000
130000,1050,2,1,rural,apartment,false,1982,150000
335000,2000,3,2,downtown,townhouse,true,2009,380000
155000,1250,2,1,suburbs,house,false,1993,175000
580000,3300,5,4,downtown,condo,true,2021,655000
100000,750,1,1,rural,house,false,1968,115000
295000,1850,3,2,suburbs,apartment,false,2004,335000
210000,1650,3,2,downtown,house,false,2001,240000
500000,2900,4,3,downtown,house,true,2017,565000
120000,950,2,1,rural,townhouse,false,1978,138000
375000,2250,4,2,suburbs,condo,true,2011,425000
180000,1450,2,2,suburbs,apartment,false,1996,205000
540000,3100,5,3,downtown,house,true,2020,610000
135000,1080,2,1,rural,house,false,1985,155000
320000,1950,3,2,downtown,condo,true,2006,365000
170000,1350,2,1,suburbs,townhouse,false,1992,195000
470000,2700,4,3,suburbs,house,true,2014,530000
90000,700,1,1,rural,apartment,false,1962,100000
340000,2050,3,2,downtown,house,false,2008,385000
